mapa,algoritmo,execucao,custo
mapas/coletas_01.txt,Hill-Climbing,1,144.00
mapas/coletas_01.txt,Hill-Climbing,2,144.00
mapas/coletas_01.txt,Hill-Climbing,3,144.00
mapas/coletas_01.txt,Hill-Climbing,4,144.00
mapas/coletas_01.txt,Hill-Climbing,5,144.00
mapas/coletas_01.txt,Hill-Climbing,6,144.00
mapas/coletas_01.txt,Hill-Climbing,7,144.00
mapas/coletas_01.txt,Hill-Climbing,8,144.00
mapas/coletas_01.txt,Hill-Climbing,9,144.00
mapas/coletas_01.txt,Hill-Climbing,10,144.00
mapas/coletas_01.txt,Hill-Climbing,11,144.00
mapas/coletas_01.txt,Hill-Climbing,12,144.00
mapas/coletas_01.txt,Hill-Climbing,13,144.00
mapas/coletas_01.txt,Hill-Climbing,14,144.00
mapas/coletas_01.txt,Hill-Climbing,15,144.00
mapas/coletas_01.txt,Hill-Climbing,16,144.00
mapas/coletas_01.txt,Hill-Climbing,17,144.00
mapas/coletas_01.txt,Hill-Climbing,18,144.00
mapas/coletas_01.txt,Hill-Climbing,19,144.00
mapas/coletas_01.txt,Hill-Climbing,20,144.00
mapas/coletas_01.txt,Hill-Climbing,21,144.00
mapas/coletas_01.txt,Hill-Climbing,22,144.00
mapas/coletas_01.txt,Hill-Climbing,23,144.00
mapas/coletas_01.txt,Hill-Climbing,24,144.00
mapas/coletas_01.txt,Hill-Climbing,25,144.00
mapas/coletas_01.txt,Hill-Climbing,26,144.00
mapas/coletas_01.txt,Hill-Climbing,27,144.00
mapas/coletas_01.txt,Hill-Climbing,28,144.00
mapas/coletas_01.txt,Hill-Climbing,29,144.00
mapas/coletas_01.txt,Hill-Climbing,30,144.00
mapas/coletas_01.txt,Simulated Annealing,1,144.00
mapas/coletas_01.txt,Simulated Annealing,2,144.00
mapas/coletas_01.txt,Simulated Annealing,3,144.00
mapas/coletas_01.txt,Simulated Annealing,4,144.00
mapas/coletas_01.txt,Simulated Annealing,5,144.00
mapas/coletas_01.txt,Simulated Annealing,6,144.00
mapas/coletas_01.txt,Simulated Annealing,7,144.00
mapas/coletas_01.txt,Simulated Annealing,8,144.00
mapas/coletas_01.txt,Simulated Annealing,9,144.00
mapas/coletas_01.txt,Simulated Annealing,10,144.00
mapas/coletas_01.txt,Simulated Annealing,11,144.00
mapas/coletas_01.txt,Simulated Annealing,12,144.00
mapas/coletas_01.txt,Simulated Annealing,13,144.00
mapas/coletas_01.txt,Simulated Annealing,14,144.00
mapas/coletas_01.txt,Simulated Annealing,15,144.00
mapas/coletas_01.txt,Simulated Annealing,16,144.00
mapas/coletas_01.txt,Simulated Annealing,17,144.00
mapas/coletas_01.txt,Simulated Annealing,18,144.00
mapas/coletas_01.txt,Simulated Annealing,19,144.00
mapas/coletas_01.txt,Simulated Annealing,20,144.00
mapas/coletas_01.txt,Simulated Annealing,21,144.00
mapas/coletas_01.txt,Simulated Annealing,22,144.00
mapas/coletas_01.txt,Simulated Annealing,23,144.00
mapas/coletas_01.txt,Simulated Annealing,24,144.00
mapas/coletas_01.txt,Simulated Annealing,25,144.00
mapas/coletas_01.txt,Simulated Annealing,26,144.00
mapas/coletas_01.txt,Simulated Annealing,27,144.00
mapas/coletas_01.txt,Simulated Annealing,28,144.00
mapas/coletas_01.txt,Simulated Annealing,29,144.00
mapas/coletas_01.txt,Simulated Annealing,30,144.00
